,score_sum
1743,96.0
5496,13.0
1183,98.0
7808,99.0
1334,96.0
4389,0.0
6362,100.0
7873,0.0
9362,0.0
9606,79.0
9673,98.0
2932,8.0
9092,0.0
5122,99.0
9833,4.0
2797,94.0
6159,4.0
2517,6.0
7684,0.0
3170,0.0
1123,8.0
2038,0.0
3203,94.0
6990,94.0
2601,0.0
8082,95.0
5939,0.0
594,95.0
7486,0.0
8493,0.0
6944,95.0
8024,0.0
54,90.0
3788,99.0
8148,99.0
5491,0.0
10855,6.0
9454,96.0
9447,4.0
10528,0.0
10486,100.0
1323,0.0
5757,11.0
480,89.0
3655,2.0
534,98.0
5120,9.0
4727,92.0
6583,0.0
804,0.0
3627,0.0
5810,95.0
10413,0.0
10488,23.0
9340,98.0
4399,2.0
4693,96.0
5839,96.0
4108,0.0
2573,99.0
8421,0.0
3275,100.0
2606,0.0
2219,99.0
2329,99.0
9900,2.0
9079,4.0
1315,95.0
862,99.0
7757,2.0
540,99.0
3914,2.0
1973,2.0
10663,0.0
10826,94.0
2734,8.0
9654,14.0
2489,97.0
7625,0.0
6437,97.0
1927,0.0
8835,99.0
10931,0.0
3943,0.0
1485,96.0
5184,96.0
4833,0.0
7555,100.0
10599,4.0
6974,96.0
4437,92.0
1141,0.0
8571,6.0
4222,0.0
964,0.0
1148,97.0
6105,0.0
10327,92.0
6606,92.0
8187,99.0
5091,0.0
4407,2.0
6803,95.0
1694,0.0
5809,99.0
1837,4.0
2166,0.0
688,0.0
8091,4.0
3028,0.0
6051,97.0
10375,8.0
2307,20.0
5088,97.0
8611,0.0
7791,95.0
8884,0.0
9660,6.0
7980,2.0
4901,97.0
5549,2.0
10219,13.0
784,94.0
6781,4.0
4400,4.0
5766,4.0
1738,2.0
410,0.0
503,0.0
6913,98.0
5950,10.0
9718,99.0
2066,92.0
7676,0.0
3474,16.0
8561,16.0
7547,2.0
10161,6.0
5603,12.0
1443,97.0
7107,90.0
892,85.0
9717,9.0
4046,4.0
8754,4.0
2027,2.0
3498,0.0
6878,97.0
5439,83.0
1527,94.0
2794,9.0
8243,91.0
7257,6.0
9107,93.0
1701,0.0
4732,28.0
3618,4.0
3565,8.0
3892,0.0
4847,98.0
8542,9.0
8490,0.0
8831,98.0
5866,14.0
4965,97.0
10229,4.0
9427,98.0
8014,95.0
2263,0.0
8652,0.0
4544,100.0
1115,96.0
6752,94.0
5763,2.0
10608,16.0
1434,1.0
3799,97.0
7654,8.0
4126,0.0
4946,96.0
6375,4.0
2637,97.0
10233,98.0
3333,8.0
10382,8.0
5784,97.0
8214,4.0
1627,99.0
2078,26.0
7828,0.0
2286,97.0
6775,3.0
5895,0.0
4392,94.0
