,score_sum
29,98.0
700,0.0
8515,21.0
1621,97.0
10233,98.0
800,4.0
6063,96.0
3744,0.0
8955,0.0
9172,96.0
4543,98.0
7961,10.0
6336,9.0
6554,94.0
2330,98.0
5186,31.0
640,8.0
8081,97.0
2462,0.0
9312,96.0
8012,4.0
4290,4.0
7621,0.0
7813,96.0
9296,95.0
5636,97.0
1977,5.0
916,0.0
4671,0.0
7994,96.0
2755,12.0
217,97.0
1625,4.0
8152,95.0
7688,0.0
8590,2.0
3222,0.0
4197,0.0
5738,18.0
6780,18.0
1448,4.0
4029,97.0
5431,8.0
1953,8.0
2339,94.0
4561,0.0
6543,96.0
4086,2.0
7331,0.0
8512,97.0
9095,99.0
4467,98.0
6839,93.0
8420,0.0
514,0.0
3314,6.0
9582,98.0
2943,98.0
1277,100.0
2587,0.0
8060,0.0
9944,4.0
10669,96.0
1848,14.0
10640,0.0
2658,95.0
10571,0.0
3435,0.0
4277,4.0
3194,0.0
5567,8.0
6049,95.0
2191,98.0
7945,97.0
685,0.0
6294,96.0
4624,98.0
2602,0.0
8188,4.0
527,0.0
9074,0.0
8003,6.0
9858,0.0
4752,4.0
10405,0.0
3493,98.0
7386,4.0
8123,98.0
7260,97.0
6625,93.0
6944,95.0
4148,0.0
3456,93.0
9598,95.0
9734,0.0
2020,99.0
2939,2.0
8300,99.0
9563,93.0
7834,98.0
7523,0.0
2554,98.0
684,0.0
3653,0.0
1771,0.0
7606,0.0
8119,2.0
9304,99.0
9905,8.0
3543,98.0
3758,99.0
1386,16.0
6974,96.0
3974,98.0
200,4.0
7348,6.0
6760,98.0
752,99.0
67,2.0
624,15.0
2212,0.0
1225,91.0
786,95.0
1701,0.0
10806,12.0
1840,98.0
2849,100.0
5552,2.0
5358,0.0
10282,99.0
3696,4.0
6914,99.0
10910,0.0
14,0.0
6701,14.0
1135,0.0
6533,98.0
5325,100.0
6296,6.0
4579,95.0
829,99.0
3978,94.0
10942,0.0
2176,8.0
7798,87.0
261,95.0
5424,4.0
8674,8.0
10772,0.0
7741,15.0
5040,96.0
4656,0.0
90,2.0
9773,93.0
10077,4.0
3680,12.0
7527,0.0
153,0.0
7094,93.0
6048,88.0
766,4.0
6803,95.0
3800,93.0
4523,8.0
351,0.0
9970,0.0
1900,0.0
7917,20.0
6603,96.0
6305,91.0
958,0.0
1234,99.0
9755,0.0
10605,93.0
7044,0.0
2693,98.0
10948,0.0
291,94.0
3992,6.0
4426,0.0
1357,0.0
4881,99.0
1284,0.0
6875,98.0
1515,96.0
9725,0.0
3118,88.0
7616,0.0
8681,4.0
7864,0.0
6295,4.0
3989,99.0
3669,98.0
16,2.0
9044,97.0
7924,4.0
9698,4.0
983,0.0
4379,0.0
1185,95.0
